"Vertex 16" "Vertex 9"
"Vertex 9" "Vertex 16"
"Vertex 14" "Vertex 9"
"Vertex 9" "Vertex 14"
"Vertex 10" "Vertex 9"
"Vertex 9" "Vertex 10"
"Vertex 11" "Vertex 8"
"Vertex 8" "Vertex 11"
"Vertex 8" "Vertex 7"
"Vertex 8" "Vertex 5"
"Vertex 8" "Vertex 4"
"Vertex 7" "Vertex 8"
"Vertex 5" "Vertex 8"
"Vertex 4" "Vertex 8"
"Vertex 7" "Vertex 4"
"Vertex 4" "Vertex 7"
"Vertex 11" "Vertex 4"
"Vertex 4" "Vertex 11"
"Vertex 11" "Vertex 5"
"Vertex 11" "Vertex 3"
"Vertex 5" "Vertex 11"
"Vertex 3" "Vertex 11"
"Vertex 9" "Vertex 6"
"Vertex 9" "Vertex 3"
"Vertex 6" "Vertex 9"
"Vertex 3" "Vertex 9"
"Vertex 6" "Vertex 3"
"Vertex 3" "Vertex 6"
"Vertex 5" "Vertex 3"
"Vertex 3" "Vertex 5"
