"Vertex 14" "Vertex 11"
"Vertex 14" "Vertex 10"
"Vertex 14" "Vertex 9"
"Vertex 11" "Vertex 14"
"Vertex 10" "Vertex 14"
"Vertex 9" "Vertex 14"
"Vertex 11" "Vertex 10"
"Vertex 11" "Vertex 9"
"Vertex 11" "Vertex 8"
"Vertex 10" "Vertex 11"
"Vertex 9" "Vertex 11"
"Vertex 8" "Vertex 11"
"Vertex 10" "Vertex 9"
"Vertex 10" "Vertex 8"
"Vertex 9" "Vertex 10"
"Vertex 8" "Vertex 10"
"Vertex 9" "Vertex 8"
"Vertex 8" "Vertex 9"
"Vertex 9" "Vertex 7"
"Vertex 7" "Vertex 9"
"Vertex 12" "Vertex 7"
"Vertex 12" "Vertex 6"
"Vertex 12" "Vertex 5"
"Vertex 12" "Vertex 4"
"Vertex 12" "Vertex 3"
"Vertex 7" "Vertex 12"
"Vertex 6" "Vertex 12"
"Vertex 5" "Vertex 12"
"Vertex 4" "Vertex 12"
"Vertex 3" "Vertex 12"
"Vertex 7" "Vertex 6"
"Vertex 7" "Vertex 5"
"Vertex 7" "Vertex 3"
"Vertex 6" "Vertex 7"
"Vertex 5" "Vertex 7"
"Vertex 3" "Vertex 7"
"Vertex 6" "Vertex 5"
"Vertex 6" "Vertex 4"
"Vertex 6" "Vertex 3"
"Vertex 6" "Vertex 1"
"Vertex 5" "Vertex 6"
"Vertex 4" "Vertex 6"
"Vertex 3" "Vertex 6"
"Vertex 1" "Vertex 6"
"Vertex 5" "Vertex 4"
"Vertex 5" "Vertex 3"
"Vertex 5" "Vertex 1"
"Vertex 4" "Vertex 5"
"Vertex 3" "Vertex 5"
"Vertex 1" "Vertex 5"
"Vertex 4" "Vertex 3"
"Vertex 4" "Vertex 1"
"Vertex 3" "Vertex 4"
"Vertex 1" "Vertex 4"
"Vertex 3" "Vertex 1"
"Vertex 1" "Vertex 3"
